date,pollutant,concentration
2017-01-01,CO,0.561
2017-02-01,CO,0.53
2017-03-01,CO,0.589
2017-04-01,CO,0.662
2017-05-01,CO,
2017-06-01,CO,
2017-07-01,CO,0.716
2017-08-01,CO,0.661
2017-09-01,CO,0.682
2017-10-01,CO,0.68
2017-11-01,CO,0.699
2017-12-01,CO,0.679
2018-01-01,CO,0.671
2018-02-01,CO,0.677
2018-03-01,CO,0.654
2018-04-01,CO,0.682
2018-05-01,CO,0.671
2018-06-01,CO,0.648
2018-07-01,CO,0.653
2018-08-01,CO,0.655
2018-09-01,CO,0.615
2018-10-01,CO,0.632
2018-11-01,CO,0.636
2018-12-01,CO,0.626
2019-01-01,CO,0.636
2019-02-01,CO,0.588
2019-03-01,CO,0.669
2019-04-01,CO,0.644
2019-05-01,CO,0.627
2019-06-01,CO,0.585
2019-07-01,CO,0.629
2019-08-01,CO,0.708
2019-09-01,CO,0.888
2019-10-01,CO,0.629
2019-11-01,CO,0.633
2019-12-01,CO,0.565
2020-01-01,CO,0.553
2020-02-01,CO,0.544
2020-03-01,CO,0.542
2020-04-01,CO,0.473
2020-05-01,CO,0.496
2020-06-01,CO,0.529
2020-07-01,CO,0.545
2020-08-01,CO,0.585
2020-09-01,CO,0.555
2020-10-01,CO,0.548
2020-11-01,CO,0.549
2020-12-01,CO,0.62
2021-01-01,CO,0.549
2021-02-01,CO,0.533
2021-03-01,CO,0.538
2021-04-01,CO,0.563
2021-05-01,CO,0.526
2021-06-01,CO,0.488
2021-07-01,CO,0.518
2021-08-01,CO,0.494
2021-09-01,CO,0.531
2021-10-01,CO,0.564
2021-11-01,CO,0.539
2021-12-01,CO,0.562
2022-01-01,CO,0.572
2022-02-01,CO,0.515
2022-03-01,CO,0.535
2022-04-01,CO,0.575
2022-05-01,CO,0.537
2022-06-01,CO,0.513
2022-07-01,CO,0.534
2022-08-01,CO,0.508
2022-09-01,CO,0.523
2022-10-01,CO,0.501
2022-11-01,CO,0.515
2022-12-01,CO,0.503
