date,pollutant,concentration
2017-01-01,NO2,0.0076
2017-02-01,NO2,0.0071
2017-03-01,NO2,0.0082
2017-04-01,NO2,0.0087
2017-05-01,NO2,
2017-06-01,NO2,
2017-07-01,NO2,0.0082
2017-08-01,NO2,0.0078
2017-09-01,NO2,0.0076
2017-10-01,NO2,0.0082
2017-11-01,NO2,0.008
2017-12-01,NO2,0.0074
2018-01-01,NO2,0.0078
2018-02-01,NO2,0.0069
2018-03-01,NO2,0.0074
2018-04-01,NO2,0.0075
2018-05-01,NO2,0.0076
2018-06-01,NO2,0.0074
2018-07-01,NO2,0.0096
2018-08-01,NO2,0.0077
2018-09-01,NO2,0.0079
2018-10-01,NO2,0.0076
2018-11-01,NO2,0.0074
2018-12-01,NO2,0.007
2019-01-01,NO2,0.0066
2019-02-01,NO2,0.0063
2019-03-01,NO2,0.0074
2019-04-01,NO2,0.0077
2019-05-01,NO2,0.0074
2019-06-01,NO2,0.0069
2019-07-01,NO2,0.0075
2019-08-01,NO2,0.0076
2019-09-01,NO2,0.0081
2019-10-01,NO2,0.0074
2019-11-01,NO2,0.0073
2019-12-01,NO2,0.0061
2020-01-01,NO2,0.0059
2020-02-01,NO2,0.0057
2020-03-01,NO2,0.0051
2020-04-01,NO2,0.0032
2020-05-01,NO2,0.0047
2020-06-01,NO2,0.0061
2020-07-01,NO2,0.0065
2020-08-01,NO2,0.0064
2020-09-01,NO2,0.0064
2020-10-01,NO2,0.0066
2020-11-01,NO2,0.0061
2020-12-01,NO2,0.0065
2021-01-01,NO2,0.0054
2021-02-01,NO2,0.0052
2021-03-01,NO2,0.0062
2021-04-01,NO2,0.0069
2021-05-01,NO2,0.0059
2021-06-01,NO2,0.0046
2021-07-01,NO2,0.0048
2021-08-01,NO2,0.0049
2021-09-01,NO2,0.0058
2021-10-01,NO2,0.0063
2021-11-01,NO2,0.0063
2021-12-01,NO2,0.006
2022-01-01,NO2,0.0061
2022-02-01,NO2,0.0052
2022-03-01,NO2,0.0058
2022-04-01,NO2,0.0068
2022-05-01,NO2,0.0065
2022-06-01,NO2,0.0064
2022-07-01,NO2,0.0065
2022-08-01,NO2,0.0067
2022-09-01,NO2,0.0067
2022-10-01,NO2,0.0063
2022-11-01,NO2,0.0066
2022-12-01,NO2,0.0062
