date,pollutant,concentration
2017-01-01,PM 10,38.0
2017-02-01,PM 10,40.89
2017-03-01,PM 10,42.31
2017-04-01,PM 10,37.76
2017-05-01,PM 10,
2017-06-01,PM 10,
2017-07-01,PM 10,29.31
2017-08-01,PM 10,24.96
2017-09-01,PM 10,23.41
2017-10-01,PM 10,24.32
2017-11-01,PM 10,17.91
2017-12-01,PM 10,21.6
2018-01-01,PM 10,19.14
2018-02-01,PM 10,26.06
2018-03-01,PM 10,24.84
2018-04-01,PM 10,25.64
2018-05-01,PM 10,22.6
2018-06-01,PM 10,25.88
2018-07-01,PM 10,30.29
2018-08-01,PM 10,36.47
2018-09-01,PM 10,26.97
2018-10-01,PM 10,22.22
2018-11-01,PM 10,20.03
2018-12-01,PM 10,18.89
2019-01-01,PM 10,22.26
2019-02-01,PM 10,23.59
2019-03-01,PM 10,31.92
2019-04-01,PM 10,26.95
2019-05-01,PM 10,23.74
2019-06-01,PM 10,22.16
2019-07-01,PM 10,29.98
2019-08-01,PM 10,42.2
2019-09-01,PM 10,64.11
2019-10-01,PM 10,22.39
2019-11-01,PM 10,21.52
2019-12-01,PM 10,19.09
2020-01-01,PM 10,21.37
2020-02-01,PM 10,23.18
2020-03-01,PM 10,22.96
2020-04-01,PM 10,17.7
2020-05-01,PM 10,17.58
2020-06-01,PM 10,19.48
2020-07-01,PM 10,18.55
2020-08-01,PM 10,22.81
2020-09-01,PM 10,18.23
2020-10-01,PM 10,19.19
2020-11-01,PM 10,17.11
2020-12-01,PM 10,18.55
2021-01-01,PM 10,19.65
2021-02-01,PM 10,25.74
2021-03-01,PM 10,22.54
2021-04-01,PM 10,22.55
2021-05-01,PM 10,20.28
2021-06-01,PM 10,19.65
2021-07-01,PM 10,22.76
2021-08-01,PM 10,18.16
2021-09-01,PM 10,18.6
2021-10-01,PM 10,20.53
2021-11-01,PM 10,16.84
2021-12-01,PM 10,18.86
2022-01-01,PM 10,21.98
2022-02-01,PM 10,18.09
2022-03-01,PM 10,19.76
2022-04-01,PM 10,20.59
2022-05-01,PM 10,21.16
2022-06-01,PM 10,18.67
2022-07-01,PM 10,23.55
2022-08-01,PM 10,20.64
2022-09-01,PM 10,19.41
2022-10-01,PM 10,17.35
2022-11-01,PM 10,17.4
2022-12-01,PM 10,18.44
