date,pollutant,concentration
2017-01-01,PM 2.5,
2017-02-01,PM 2.5,
2017-03-01,PM 2.5,
2017-04-01,PM 2.5,
2017-05-01,PM 2.5,
2017-06-01,PM 2.5,
2017-07-01,PM 2.5,
2017-08-01,PM 2.5,
2017-09-01,PM 2.5,
2017-10-01,PM 2.5,
2017-11-01,PM 2.5,
2017-12-01,PM 2.5,
2018-01-01,PM 2.5,11.43
2018-02-01,PM 2.5,16.75
2018-03-01,PM 2.5,15.61
2018-04-01,PM 2.5,16.34
2018-05-01,PM 2.5,14.54
2018-06-01,PM 2.5,17.28
2018-07-01,PM 2.5,20.63
2018-08-01,PM 2.5,25.84
2018-09-01,PM 2.5,18.21
2018-10-01,PM 2.5,14.5
2018-11-01,PM 2.5,12.33
2018-12-01,PM 2.5,11.54
2019-01-01,PM 2.5,12.96
2019-02-01,PM 2.5,15.23
2019-03-01,PM 2.5,23.17
2019-04-01,PM 2.5,18.69
2019-05-01,PM 2.5,15.52
2019-06-01,PM 2.5,14.57
2019-07-01,PM 2.5,20.79
2019-08-01,PM 2.5,31.74
2019-09-01,PM 2.5,52.86
2019-10-01,PM 2.5,15.46
2019-11-01,PM 2.5,13.92
2019-12-01,PM 2.5,10.95
2020-01-01,PM 2.5,12.62
2020-02-01,PM 2.5,12.93
2020-03-01,PM 2.5,15.01
2020-04-01,PM 2.5,11.81
2020-05-01,PM 2.5,11.14
2020-06-01,PM 2.5,12.21
2020-07-01,PM 2.5,11.74
2020-08-01,PM 2.5,15.15
2020-09-01,PM 2.5,11.52
2020-10-01,PM 2.5,12.36
2020-11-01,PM 2.5,10.1
2020-12-01,PM 2.5,10.92
2021-01-01,PM 2.5,11.36
2021-02-01,PM 2.5,15.94
2021-03-01,PM 2.5,14.3
2021-04-01,PM 2.5,14.07
2021-05-01,PM 2.5,12.62
2021-06-01,PM 2.5,13.3
2021-07-01,PM 2.5,15.27
2021-08-01,PM 2.5,11.76
2021-09-01,PM 2.5,12.06
2021-10-01,PM 2.5,13.14
2021-11-01,PM 2.5,10.02
2021-12-01,PM 2.5,11.43
2022-01-01,PM 2.5,13.6
2022-02-01,PM 2.5,10.87
2022-03-01,PM 2.5,12.2
2022-04-01,PM 2.5,13.25
2022-05-01,PM 2.5,13.29
2022-06-01,PM 2.5,11.63
2022-07-01,PM 2.5,14.86
2022-08-01,PM 2.5,13.4
2022-09-01,PM 2.5,12.42
2022-10-01,PM 2.5,10.48
2022-11-01,PM 2.5,10.38
2022-12-01,PM 2.5,10.75
