date,pollutant,concentration
2017-01-01,SO2,0.0023
2017-02-01,SO2,0.0025
2017-03-01,SO2,0.0028
2017-04-01,SO2,0.0027
2017-05-01,SO2,
2017-06-01,SO2,
2017-07-01,SO2,0.0014
2017-08-01,SO2,0.001
2017-09-01,SO2,0.0011
2017-10-01,SO2,0.0012
2017-11-01,SO2,0.001
2017-12-01,SO2,0.001
2018-01-01,SO2,0.001
2018-02-01,SO2,0.0011
2018-03-01,SO2,0.001
2018-04-01,SO2,0.001
2018-05-01,SO2,0.001
2018-06-01,SO2,0.0011
2018-07-01,SO2,0.0011
2018-08-01,SO2,0.0011
2018-09-01,SO2,0.001
2018-10-01,SO2,0.001
2018-11-01,SO2,0.001
2018-12-01,SO2,0.0009
2019-01-01,SO2,0.001
2019-02-01,SO2,0.0011
2019-03-01,SO2,0.0011
2019-04-01,SO2,0.001
2019-05-01,SO2,0.001
2019-06-01,SO2,0.001
2019-07-01,SO2,0.0011
2019-08-01,SO2,0.0013
2019-09-01,SO2,0.0011
2019-10-01,SO2,0.001
2019-11-01,SO2,0.001
2019-12-01,SO2,0.001
2020-01-01,SO2,0.001
2020-02-01,SO2,0.001
2020-03-01,SO2,0.0009
2020-04-01,SO2,0.0009
2020-05-01,SO2,0.0009
2020-06-01,SO2,0.001
2020-07-01,SO2,0.001
2020-08-01,SO2,0.0011
2020-09-01,SO2,0.0011
2020-10-01,SO2,0.0011
2020-11-01,SO2,0.0011
2020-12-01,SO2,0.0012
2021-01-01,SO2,0.0011
2021-02-01,SO2,0.0012
2021-03-01,SO2,0.0011
2021-04-01,SO2,0.0011
2021-05-01,SO2,0.001
2021-06-01,SO2,0.0011
2021-07-01,SO2,0.0011
2021-08-01,SO2,0.0011
2021-09-01,SO2,0.0011
2021-10-01,SO2,0.0011
2021-11-01,SO2,0.0012
2021-12-01,SO2,0.0012
2022-01-01,SO2,0.0012
2022-02-01,SO2,0.0011
2022-03-01,SO2,0.0012
2022-04-01,SO2,0.0012
2022-05-01,SO2,0.0011
2022-06-01,SO2,0.0012
2022-07-01,SO2,0.0012
2022-08-01,SO2,0.0012
2022-09-01,SO2,0.0012
2022-10-01,SO2,0.0012
2022-11-01,SO2,0.0012
2022-12-01,SO2,0.0013
