Station,Location,State,Year,ADT,Route,Route Name
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2015,"16,736",E1,Lebuhraya Utara-Selatan
AR 204,Ipoh-Lumut,Perak,2015,"26,494",5,Lebuhraya Ipoh-Lumut
AR 301,Ipoh-Kampar,Perak,2015,"30,592",1,NaN
AR 303,Sitiawan-Gopeng,Perak,2015,"78,136"
AR 501,Ipoh-Kuala Kangsar,Perak,2015,"19,895",Jalan Kuala Kangsar
AR 601,Ipoh-Butterworth,Perak,2015,"20,664",Jalan Ipoh - Butterworth
AR 603,Sitiawan-Taiping,Perak,2015,"12,949"
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2015,"27,249"
AR 801,Kuala Kangsar-Baling,Perak,2015,"3,139"
AR 803,Lebuhraya Timur-Barat,Perak,2015,"3,293"
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2015,"49,706"
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2015,"131,348"
BR 203,Klang-Morib-Batu Laut,Selangor,2015,"7,890"
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2015,"21,611"
BR 501,Klang-Sabak Bernam,Selangor,2015,"20,838"
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2015,"48,737"
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2015,"15,538"
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2015,"129,579"
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2015,"15,702"
CR 403,Kuantan-Maran,Pahang,2015,"29,856"
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2015,"20,827"
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2015,"8,063"
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2015,"10,741"
CR 801,Kuantan-Karak,Pahang,2015,"14,874"
CR 805,Kuantan-Maran,Pahang,2015,"6,369"
CR 902,Kuantan-Segamat,Pahang,2015,"9,985"
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2015,"39,257"
DR 603,Lebuh raya Timur-Barat,Kelantan,2015,"4,718"
DR 802,Kota Bharu-Kuala Krai,Kelantan,2015,"23,345"
JR 102,Batu Pahat-Muar,Johor,2015,"17,176"
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2015,"16,282"
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2015,"11,985"
JR 204,Jalan Skudai,Johor,2015,"108,858"
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2015,"29,045"
JR 305,Johor Bahru-Ayer Hitam,Johor,2015,"17,359"
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2015,"41,632"
JR 404,Johor Bahru-Kota Tinggi,Johor,2015,"19,745"
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2015,"14,672"
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2015,"2,656"
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2015,"15,945"
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2015,"17,751"
KR 202,Alor Star-Jitra,Kedah,2015,"36,660"
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2015,"24,779"
KR 501,Alor Setar-Sungai Petani,Kedah,2015,"19,854"
MR 206,Jalan Melaka-Muar,Melaka,2015,"17,182"
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2015,"16,885"
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2015,"16,916"
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2015,"57,613"
NR 403,Seremban-Tampin,Negeri Sembilan,2015,"12,465"
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2015,"11,870"
NR 505,Seremban-Gemas,Negeri Sembilan,2015,"47,976"
PR 116,Butterworth-Ipoh,Pulau Pinang,2015,"65,716"
PR 201,George Town-Telok Bahang,Pulau Pinang,2015,"24,774"
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2015,"62,464"
RR 106,Kangar-Alor Star,Perlis,2015,"14,707"
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2015,"23,584"
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2015,"28,171"
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2015,"4,105"
TR 402,K. Terengganu-Marang,Terengganu,2015,"24,887"
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2015,"9,561"
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2015,"111,097"
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2015,"211,188"
WR 103,Kuala Lumpur-Ipoh,Kuala Lumpur,2015,"162,596"
HR 103,KK-Sepulut Highway,Sabah,2015,"2,792"
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2015,"2,299"
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2015,"15,786"
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2015,"4,105"
HR 204,KK-Kudat (Kg Mantanau),Sabah,2015,"12,388"
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2015,"11,508"
HR 504,Sg. Segama Crossing,Sabah,2015,"6,335"
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2015,"2,310"
HR 507,Kunak-Lahad Datu,Sabah,2015,"6,700"
SR 101,Bau-Semantan,Sarawak,2015,"4,090"
SR 103,Kuching-Serian,Sarawak,2015,"34,874"
SR 401,Bintulu-Sibu,Sarawak,2015,"5,841"
SR 402,Bintulu-Miri,Sarawak,2015,"7,452"
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2015,"12,329"
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2015,"12,807"
SR 504,Lawas-Trusan,Sarawak,2015,"7,912"
